iter	Passed	Remaining
401	15785	23482
402	15831	23452
403	15878	23425
404	15922	23392
405	15961	23352
406	15993	23302
407	16029	23258
408	16063	23211
409	16108	23180
410	16152	23147
411	16192	23109
412	16232	23071
413	16270	23030
414	16308	22989
415	16347	22948
416	16391	22916
417	16430	22876
418	16469	22836
419	16508	22797
420	16549	22760
421	16590	22723
422	16625	22678
423	16664	22638
424	16700	22594
425	16737	22552
426	16774	22510
427	16810	22466
428	16849	22426
429	16924	22435
430	16970	22404
431	17021	22380
432	17071	22353
433	17114	22319
434	17161	22289
435	17216	22270
436	17261	22238
437	17309	22209
438	17352	22174
439	17402	22148
440	17452	22122
441	17510	22106
442	17569	22091
443	17613	22057
444	17656	22021
445	17701	21988
446	17747	21956
447	17787	21916
448	17831	21882
449	17885	21859
450	17936	21833
451	17975	21792
452	18091	21846
453	18143	21819
454	18192	21791
455	18242	21763
456	18290	21732
457	18337	21700
458	18383	21667
459	18433	21639
460	18487	21615
461	18538	21587
462	18584	21554
463	18632	21523
464	18676	21488
465	18715	21446
466	18751	21401
467	18789	21359
468	18830	21319
469	18868	21277
470	18907	21235
471	18947	21195
472	18999	21168
473	19045	21134
474	19088	21098
475	19130	21059
476	19169	21018
477	19205	20973
478	19241	20928
479	19279	20886
480	19315	20841
481	19357	20802
482	19397	20763
483	19439	20725
484	19481	20686
485	19520	20645
486	19555	20599
487	19590	20553
488	19625	20508
489	19665	20468
490	19700	20423
491	19736	20378
492	19771	20333
493	19806	20287
494	19849	20250
495	19883	20204
496	19927	20167
497	19965	20126
498	20005	20086
499	20044	20044
500	20081	20001
501	20120	19960
502	20156	19916
503	20195	19874
504	20235	19834
505	20279	19798
506	20317	19756
507	20353	19712
508	20389	19668
509	20432	19631
510	20463	19582
511	20499	19538
512	20534	19494
513	20569	19449
514	20605	19404
515	20646	19366
516	20686	19326
517	20732	19291
518	20771	19250
519	20808	19207
520	20846	19165
521	20883	19123
522	20919	19079
523	20958	19038
524	20994	18994
525	21032	18953
526	21075	18915
527	21116	18876
528	21154	18834
529	21189	18790
530	21225	18747
531	21261	18703
532	21297	18660
533	21332	18616
534	21366	18570
535	21402	18527
536	21444	18489
537	21479	18445
538	21520	18406
539	21560	18366
540	21598	18324
541	21637	18284
542	21676	18243
543	21716	18203
544	21755	18163
545	21795	18122
546	21835	18083
547	21875	18043
548	21917	18005
549	21956	17964
550	21991	17920
551	22027	17877
552	22071	17840
553	22113	17802
554	22152	17761
555	22187	17718
556	22231	17681
557	22272	17642
558	22315	17605
559	22357	17566
560	22397	17527
561	22431	17482
562	22478	17448
563	22515	17405
564	22553	17364
565	22589	17321
566	22627	17279
567	22666	17239
568	22711	17202
569	22750	17162
570	22789	17121
571	22824	17078
572	22858	17033
573	22888	16987
574	22924	16944
575	22957	16899
576	22992	16856
577	23027	16812
578	23063	16769
579	23105	16731
580	23142	16689
581	23186	16652
582	23227	16613
583	23263	16571
584	23298	16528
585	23335	16486
586	23372	16444
587	23408	16402
588	23448	16361
589	23489	16323
590	23530	16284
591	23571	16245
592	23610	16204
593	23645	16161
594	23681	16119
595	23719	16078
596	23754	16035
597	23789	15992
598	23826	15950
599	23861	15907
600	23896	15864
601	23942	15828
602	23987	15792
603	24028	15754
604	24065	15712
605	24104	15671
606	24139	15629
607	24176	15587
608	24212	15545
609	24249	15504
610	24287	15463
611	24328	15423
612	24371	15386
613	24411	15346
614	24451	15306
615	24486	15264
616	24521	15221
617	24555	15178
618	24590	15135
619	24626	15093
620	24661	15050
621	24696	15008
622	24732	14966
623	24771	14926
624	24813	14888
625	24855	14850
626	24894	14809
627	24932	14769
628	24969	14727
629	25007	14686
630	25042	14644
631	25079	14603
632	25118	14562
633	25159	14524
634	25210	14491
635	25257	14455
636	25293	14413
637	25329	14372
638	25366	14330
639	25402	14288
640	25438	14246
641	25474	14205
642	25510	14163
643	25545	14121
644	25588	14083
645	25623	14041
646	25666	14003
647	25707	13964
648	25745	13923
649	25781	13882
650	25818	13841
651	25854	13799
652	25890	13757
653	25926	13716
654	25967	13677
655	26007	13637
656	26047	13598
657	26085	13558
658	26123	13517
659	26158	13475
660	26194	13434
661	26232	13393
662	26270	13353
663	26303	13310
664	26339	13268
665	26374	13226
666	26422	13191
667	26466	13153
668	26511	13116
669	26550	13077
670	26588	13036
671	26624	12995
672	26664	12955
673	26702	12915
674	26739	12874
675	26776	12833
676	26815	12794
677	26857	12755
678	26898	12716
679	26937	12676
680	26972	12634
681	27007	12593
682	27043	12551
683	27079	12510
684	27113	12468
685	27150	12427
686	27187	12386
687	27223	12345
688	27269	12309
689	27312	12270
690	27350	12230
691	27387	12189
692	27424	12149
693	27461	12108
694	27498	12067
695	27534	12026
696	27571	11985
697	27610	11945
698	27650	11906
699	27690	11867
700	27730	11827
701	27766	11787
702	27803	11746
703	27836	11704
704	27873	11663
705	27910	11622
706	27947	11582
707	27983	11541
708	28019	11500
709	28061	11461
710	28104	11423
711	28146	11385
712	28182	11344
713	28219	11303
714	28262	11265
715	28307	11228
716	28349	11189
717	28388	11149
718	28426	11109
719	28466	11070
720	28512	11033
721	28553	10994
722	28591	10954
723	28624	10912
724	28658	10870
725	28695	10830
726	28731	10789
727	28766	10748
728	28804	10707
729	28839	10666
730	28873	10625
731	28921	10588
732	28960	10549
733	29002	10510
734	29039	10470
735	29077	10430
736	29117	10390
737	29154	10350
738	29190	10309
739	29224	10267
740	29264	10228
741	29304	10189
742	29346	10150
743	29386	10111
744	29421	10070
745	29457	10029
746	29498	9990
747	29534	9950
748	29568	9908
749	29602	9867
750	29637	9826
751	29672	9785
752	29720	9748
753	29758	9709
754	29803	9671
755	29842	9631
756	29878	9591
757	29915	9550
758	29951	9510
759	29989	9470
760	30026	9430
761	30065	9390
762	30107	9351
763	30148	9312
764	30189	9273
765	30226	9233
766	30261	9192
767	30297	9152
768	30332	9111
769	30366	9070
770	30401	9029
771	30437	8989
772	30473	8948
773	30519	8911
774	30563	8873
775	30607	8835
776	30645	8795
777	30686	8756
778	30723	8716
779	30763	8676
780	30800	8636
781	30838	8596
782	30874	8556
783	30912	8516
784	30953	8477
785	30994	8438
786	31032	8398
787	31069	8358
788	31105	8318
789	31141	8278
790	31177	8237
791	31213	8197
792	31249	8157
793	31285	8116
794	31319	8076
795	31374	8040
796	31418	8002
797	31462	7964
798	31507	7926
799	31545	7886
800	31580	7845
801	31620	7806
802	31659	7767
803	31697	7727
804	31737	7688
805	31778	7649
806	31819	7609
807	31858	7570
808	31893	7529
809	31930	7489
810	31966	7449
811	32002	7409
812	32037	7369
813	32074	7328
814	32110	7288
815	32151	7249
816	32201	7212
817	32241	7173
818	32281	7134
819	32321	7095
820	32360	7055
821	32396	7015
822	32434	6975
823	32469	6935
824	32520	6898
825	32558	6858
826	32600	6819
827	32638	6780
828	32678	6740
829	32717	6701
830	32755	6661
831	32792	6621
832	32827	6581
833	32863	6541
834	32899	6501
835	32933	6460
836	32969	6420
837	33017	6382
838	33059	6344
839	33103	6305
840	33140	6265
841	33176	6225
842	33215	6186
843	33252	6146
844	33291	6106
845	33327	6066
846	33364	6026
847	33406	5987
848	33448	5949
849	33489	5909
850	33529	5870
851	33566	5830
852	33601	5790
853	33637	5750
854	33672	5710
855	33708	5670
856	33745	5630
857	33779	5590
858	33819	5551
859	33861	5512
860	33906	5473
861	33944	5434
862	33980	5394
863	34016	5354
864	34054	5314
865	34091	5275
866	34129	5235
867	34167	5195
868	34206	5156
869	34248	5117
870	34290	5078
871	34327	5038
872	34362	4998
873	34399	4959
874	34434	4919
875	34473	4879
876	34513	4840
877	34553	4801
878	34589	4761
879	34631	4722
880	34672	4683
881	34716	4644
882	34756	4605
883	34793	4565
884	34832	4526
885	34868	4486
886	34907	4447
887	34944	4407
888	34983	4367
889	35024	4328
890	35064	4289
891	35104	4250
892	35142	4210
893	35178	4171
894	35213	4131
895	35248	4091
896	35285	4051
897	35319	4011
898	35354	3971
899	35388	3932
900	35418	3891
901	35459	3852
902	35499	3813
903	35546	3774
904	35587	3735
905	35623	3695
906	35661	3656
907	35701	3617
908	35738	3577
909	35775	3538
910	35812	3498
911	35847	3458
912	35888	3419
913	35928	3380
914	35967	3341
915	36004	3301
916	36039	3262
917	36075	3222
918	36112	3182
919	36150	3143
920	36185	3103
921	36220	3064
922	36254	3024
923	36300	2985
924	36339	2946
925	36383	2907
926	36423	2868
927	36464	2829
928	36501	2789
929	36538	2750
930	36577	2710
931	36616	2671
932	36656	2632
933	36697	2593
934	36736	2553
935	36774	2514
936	36811	2475
937	36845	2435
938	36880	2395
939	36919	2356
940	36954	2317
941	36992	2277
942	37028	2238
943	37064	2198
944	37107	2159
945	37151	2120
946	37191	2081
947	37227	2041
948	37263	2002
949	37301	1963
950	37338	1923
951	37375	1884
952	37414	1845
953	37448	1805
954	37488	1766
955	37531	1727
956	37578	1688
957	37625	1649
958	37666	1610
959	37701	1570
960	37738	1531
961	37774	1492
962	37810	1452
963	37846	1413
964	37880	1373
965	37914	1334
966	37957	1295
967	37999	1256
968	38041	1217
969	38081	1177
970	38119	1138
971	38157	1099
972	38193	1059
973	38231	1020
974	38266	981
975	38305	941
976	38345	902
977	38387	863
978	38426	824
979	38467	785
980	38502	745
981	38537	706
982	38582	667
983	38617	627
984	38652	588
985	38688	549
986	38724	510
987	38759	470
988	38801	431
989	38845	392
990	38887	353
991	38924	313
992	38963	274
993	39000	235
994	39037	196
995	39074	156
996	39111	117
997	39149	78
998	39189	39
999	39230	0
